num,day,room,hatched_cocoons,dead_bees,sum_dead,percent_dead,Season,UV,Model
1,2,a,94,0,0,0,Spring,y,Model 2: Spring
2,3,a,25,9,9,0.0703125,Spring,y,Model 2: Spring
3,4,a,5,1,10,0.078125,Spring,y,Model 2: Spring
4,5,a,2,1,11,0.0859375,Spring,y,Model 2: Spring
5,8,a,1,20,31,0.2421875,Spring,y,Model 2: Spring
6,9,a,0,8,39,0.3046875,Spring,y,Model 2: Spring
7,10,a,0,6,45,0.3515625,Spring,y,Model 2: Spring
8,11,a,1,4,49,0.3828125,Spring,y,Model 2: Spring
9,12,a,0,3,52,0.40625,Spring,y,Model 2: Spring
10,15,a,0,5,57,0.4453125,Spring,y,Model 2: Spring
11,16,a,0,3,60,0.46875,Spring,y,Model 2: Spring
12,17,a,0,2,62,0.484375,Spring,y,Model 2: Spring
13,18,a,0,7,69,0.5390625,Spring,y,Model 2: Spring
14,19,a,0,5,74,0.578125,Spring,y,Model 2: Spring
15,22,a,0,8,82,0.640625,Spring,y,Model 2: Spring
16,23,a,0,1,83,0.6484375,Spring,y,Model 2: Spring
17,24,a,0,2,85,0.6640625,Spring,y,Model 2: Spring
18,25,a,0,0,85,0.6640625,Spring,y,Model 2: Spring
19,26,a,0,1,86,0.671875,Spring,y,Model 2: Spring
20,29,a,0,7,93,0.7265625,Spring,y,Model 2: Spring
21,2,c,94,0,0,0,Spring,n,Model 2: Spring
22,3,c,18,0,0,0,Spring,n,Model 2: Spring
23,4,c,7,2,2,0.016129032,Spring,n,Model 2: Spring
24,5,c,1,4,6,0.048387097,Spring,n,Model 2: Spring
25,8,c,3,18,24,0.193548387,Spring,n,Model 2: Spring
26,9,c,1,14,38,0.306451613,Spring,n,Model 2: Spring
27,10,c,0,9,47,0.379032258,Spring,n,Model 2: Spring
28,11,c,0,2,49,0.39516129,Spring,n,Model 2: Spring
29,12,c,0,1,50,0.403225806,Spring,n,Model 2: Spring
30,15,c,0,10,60,0.483870968,Spring,n,Model 2: Spring
31,16,c,0,8,68,0.548387097,Spring,n,Model 2: Spring
32,17,c,0,3,71,0.572580645,Spring,n,Model 2: Spring
33,18,c,0,6,77,0.620967742,Spring,n,Model 2: Spring
34,19,c,0,5,82,0.661290323,Spring,n,Model 2: Spring
35,22,c,0,9,91,0.733870968,Spring,n,Model 2: Spring
36,23,c,0,1,92,0.741935484,Spring,n,Model 2: Spring
37,24,c,0,0,92,0.741935484,Spring,n,Model 2: Spring
38,25,c,0,3,95,0.766129032,Spring,n,Model 2: Spring
39,26,c,0,2,97,0.782258065,Spring,n,Model 2: Spring
40,29,c,0,7,104,0.838709677,Spring,n,Model 2: Spring
41,2,a,0,0,0,0,Summer,y,Model 2: Summer
42,3,a,119,6,6,0.048780488,Summer,y,Model 2: Summer
