trial,room,treatment,bucket,plant,rootweight,plantweight,berrynum,deadnum,flowernum,plant_status
Spring,a,Bee/UV,1,1,4.9,5.2,2,0,0,alive
Spring,a,Bee/UV,1,2,9.2,11.3,4,0,0,alive
Spring,a,Bee/UV,1,3,8.7,14.9,4,0,0,alive
Spring,a,Bee/UV,1,4,13.8,15.1,7,1,0,alive
Spring,a,Bee/UV,1,5,7.9,5.5,4,0,0,alive
Spring,a,Bee/UV,1,6,9.4,11,4,0,0,alive
Spring,a,Bee/UV,1,7,13.4,14.7,6,0,0,alive
Spring,a,Bee/UV,1,8,7.2,7,3,0,1,alive
Spring,a,Bee/UV,1,9,5.7,8.8,3,0,0,alive
Spring,a,Bee/UV,1,10,9.3,11.9,5,2,1,alive
Spring,a,Bee/UV,1,11,26,22.5,4,0,0,alive
Spring,a,Bee/UV,1,12,13.8,20.3,8,3,0,alive
Spring,a,Bee/UV,1,13,16.5,11.8,1,3,0,alive
Spring,a,Bee/UV,1,14,17.4,31.9,9,3,0,alive
Spring,a,Bee/UV,1,15,18.7,34.5,4,2,0,alive
Spring,a,Bee/UV,1,16,16.7,20.4,9,3,0,alive
Spring,a,Bee/UV,1,17,26.7,30.2,4,5,0,alive
Spring,a,Bee/UV,1,18,8.1,9.8,4,0,0,alive
Spring,a,Bee/UV,1,19,11.4,12.9,1,3,0,alive
Spring,a,Bee/UV,1,20,9.1,13.9,2,5,0,alive
Spring,a,Bee/UV,2,1,9.2,7.5,1,0,0,alive
Spring,a,Bee/UV,2,2,15.7,30.3,10,0,0,alive
Spring,a,Bee/UV,2,3,9.7,11.5,5,0,0,alive
Spring,a,Bee/UV,2,4,8.2,10.1,3,0,0,alive
Spring,a,Bee/UV,2,5,26.3,31.8,10,0,0,alive
Spring,a,Bee/UV,2,6,14,17.9,4,0,0,alive
Spring,a,Bee/UV,2,7,12.5,23.1,7,0,0,alive
Spring,a,Bee/UV,2,8,14.6,25,5,0,0,alive
Spring,a,Bee/UV,2,9,26.2,39.1,3,1,0,alive
Spring,a,Bee/UV,2,10,9.7,14.2,5,0,0,alive
Spring,a,Bee/UV,2,11,9.1,18.6,5,0,0,alive
Spring,a,Bee/UV,2,12,10,14.8,4,0,0,alive
Spring,a,Bee/UV,2,13,19.1,47.1,9,0,0,alive
Spring,a,Bee/UV,2,14,19.3,20.3,13,1,0,alive
Spring,a,Bee/UV,2,15,17.7,43.1,4,0,0,alive
Spring,a,Bee/UV,2,16,23,33.8,9,0,2,alive
Spring,a,Bee/UV,2,17,16.1,38.4,7,5,0,alive
Spring,a,Bee/UV,2,18,10.4,19.7,6,0,0,alive
Spring,a,Bee/UV,2,19,4.5,6.6,2,1,0,alive
Spring,a,Control,2,20,3.9,7.4,5,0,0,alive
Spring,b,Control,3,1,10.4,14.1,0,3,0,alive
Spring,b,Control,3,2,2.6,4.1,0,0,0,alive
Spring,b,Control,3,3,14.7,21.6,2,7,0,alive
Spring,b,Control,3,4,19.2,35.4,0,10,0,alive
Spring,b,Control,3,5,8.7,10.7,0,0,0,alive
Spring,b,Control,3,6,19.9,24,0,10,0,alive
Spring,b,Control,3,7,4.8,7.7,0,1,0,alive
Spring,b,Control,3,8,24,28.1,1,13,0,alive
Spring,b,Control,3,9,4.7,5.4,0,0,0,alive
Spring,b,Control,3,10,10,13,1,2,0,alive
Spring,b,Control,3,11,9.7,13.7,0,10,0,alive
Spring,b,Control,3,12,10.2,14.2,1,8,0,alive
