Number,Trial,Treatment,Room,Bucket,Plant,DryRootWeightBag,DryPlantWeightBag,DryRoot,DryPlant,RootShoot
1,Spring,Bee UV,a,1,1,6.59,6.98,0.2775,0.6675,0.415730337
2,Spring,Bee UV,a,1,2,6.86,7.47,0.5475,1.1575,0.47300216
3,Spring,Bee UV,a,1,3,7.09,8.13,0.7775,1.8175,0.42778542
4,Spring,Bee UV,a,1,4,7.5,7.96,1.1875,1.6475,0.720789074
5,Spring,Bee UV,a,1,5,6.87,6.89,0.5575,0.5775,0.965367965
6,Spring,Bee UV,a,1,6,7.21,7.41,0.8975,1.0975,0.817767654
7,Spring,Bee UV,a,1,7,7.2,7.5,0.8875,1.1875,0.747368421
8,Spring,Bee UV,a,1,8,6.77,7.27,0.4575,0.9575,0.477806789
9,Spring,Bee UV,a,1,9,6.84,7.19,0.5275,0.8775,0.601139601
10,Spring,Bee UV,a,1,10,7.04,7.51,0.7275,1.1975,0.607515658
11,Spring,Bee UV,a,1,11,8.64,9.58,2.3275,3.2675,0.712318286
12,Spring,Bee UV,a,1,12,7.52,8.28,1.2075,1.9675,0.613722999
13,Spring,Bee UV,a,1,13,7.47,8.2,1.1575,1.8875,0.613245033
14,Spring,Bee UV,a,1,14,7.64,10.17,1.3275,3.8575,0.344134802
15,Spring,Bee UV,a,1,15,8.03,11.2,1.7175,4.8875,0.35140665
16,Spring,Bee UV,a,1,16,7.49,8.68,1.1775,2.3675,0.497360084
17,Spring,Bee UV,a,1,17,8.83,11.3,2.5175,4.9875,0.504761905
18,Spring,Bee UV,a,1,18,7,7.14,0.6875,0.8275,0.83081571
19,Spring,Bee UV,a,1,19,7.44,8.91,1.1275,2.5975,0.434071222
20,Spring,Bee UV,a,1,20,7.25,9.04,0.9375,2.7275,0.343721357
21,Spring,Bee UV,a,2,1,7.3,7.781,0.9875,1.4685,0.672454886
22,Spring,Bee UV,a,2,2,7.77,8.6,1.4575,2.2875,0.63715847
23,Spring,Bee UV,a,2,3,7.081,7.57,0.7685,1.2575,0.611133201
24,Spring,Bee UV,a,2,4,6.923,7.554,0.6105,1.2415,0.491743858
25,Spring,Bee UV,a,2,5,8.5,9.08,2.1875,2.7675,0.790424571
26,Spring,Bee UV,a,2,6,7.46,8.42,1.1475,2.1075,0.544483986
27,Spring,Bee UV,a,2,7,7.25,8.78,0.9375,2.4675,0.37993921
28,Spring,Bee UV,a,2,8,7.48,8.71,1.1675,2.3975,0.486965589
29,Spring,Bee UV,a,2,9,8.93,13.55,2.6175,7.2375,0.361658031
30,Spring,Bee UV,a,2,10,7.04,7.93,0.7275,1.6175,0.449768161
31,Spring,Bee UV,a,2,11,7.17,8.62,0.8575,2.3075,0.371614301
32,Spring,Bee UV,a,2,12,7.14,7.95,0.8275,1.6375,0.505343511
33,Spring,Bee UV,a,2,13,7.9,12.72,1.5875,6.4075,0.247756535
34,Spring,Bee UV,a,2,14,7.96,10.04,1.6475,3.7275,0.441985245
35,Spring,Bee UV,a,2,15,7.79,13.47,1.4775,7.1575,0.206426825
36,Spring,Bee UV,a,2,16,8.42,10.68,2.1075,4.3675,0.4825415
37,Spring,Bee UV,a,2,17,8.038,11.74,1.7255,5.4275,0.31791801
38,Spring,Bee UV,a,2,18,7.618,8.128,1.3055,1.8155,0.719085651
39,Spring,Bee UV,a,2,19,6.683,7.275,0.3705,0.9625,0.384935065
40,Spring,Bee UV,a,2,20,6.68,6.94,0.3675,0.6275,0.585657371
41,Spring,Control,b,4,1,7.23,9.27,0.9175,2.9575,0.310228233
42,Spring,Control,b,4,2,7.11,8.45,0.7975,2.1375,0.373099415
43,Spring,Control,b,4,3,7.79,12.97,1.4775,6.6575,0.221930154
44,Spring,Control,b,4,4,8.04,10.24,1.7275,3.9275,0.439847231
45,Spring,Control,b,4,5,6.77,8.23,0.4575,1.9175,0.238591917
46,Spring,Control,b,4,6,7.2,9.51,0.8875,3.1975,0.277560594
47,Spring,Control,b,4,7,7.58,10.07,1.2675,3.7575,0.337325349
48,Spring,Control,b,4,8,7.29,8.99,0.9775,2.6775,0.365079365
49,Spring,Control,b,4,9,7.36,10.3,1.0475,3.9875,0.262695925
50,Spring,Control,b,4,10,7.5,9.88,1.1875,3.5675,0.332866153
51,Spring,Control,b,4,11,7.58,9.76,1.2675,3.4475,0.367657723
52,Spring,Control,b,4,12,7.95,12.17,1.6375,5.8575,0.279556125
53,Spring,Control,b,4,13,7.47,10.78,1.1575,4.4675,0.259093453
54,Spring,Control,b,4,14,7.27,9.5,0.9575,3.1875,0.300392157
55,Spring,Control,b,4,15,7.31,9.39,0.9975,3.0775,0.324126726
56,Spring,Control,b,4,16,7.14,8.88,0.8275,2.5675,0.322297955
57,Spring,Control,b,4,17,10.08,13.84,3.7675,7.5275,0.500498173
58,Spring,Control,b,4,18,7.44,10.94,1.1275,4.6275,0.24365208
59,Spring,Control,b,4,19,6.84,9.31,0.5275,2.9975,0.175979983
60,Spring,Control,b,4,20,7.42,11.11,1.1075,4.7975,0.230849401
61,Spring,Bee,c,6,1,7.05,8.28,0.7375,1.9675,0.374841169
62,Spring,Bee,c,6,2,7.1,8.68,0.7875,2.3675,0.332629356
63,Spring,Bee,c,6,3,6.75,7.9,0.4375,1.5875,0.275590551
64,Spring,Bee,c,6,4,9.3,13.58,2.9875,7.2675,0.411076711
65,Spring,Bee,c,6,5,8.31,12.53,1.9975,6.2175,0.321270607
66,Spring,Bee,c,6,6,6.84,7.34,0.5275,1.0275,0.513381995
67,Spring,Bee,c,6,7,6.62,7.39,0.3075,1.0775,0.285382831
68,Spring,Bee,c,6,8,8.03,10.58,1.7175,4.2675,0.402460457
69,Spring,Bee,c,6,9,7.01,8.25,0.6975,1.9375,0.36
70,Spring,Bee,c,6,10,6.84,7.91,0.5275,1.5975,0.330203443
71,Spring,Bee,c,6,11,7.07,9.07,0.7575,2.7575,0.274705349
72,Spring,Bee,c,6,12,6.96,7.95,0.6475,1.6375,0.395419847
73,Spring,Bee,c,6,13,6.89,8.1,0.5775,1.7875,0.323076923
74,Spring,Bee,c,6,14,7.08,8.63,0.7675,2.3175,0.331175836
75,Spring,Bee,c,6,15,6.98,7.71,0.6675,1.3975,0.47763864
76,Spring,Bee,c,6,16,6.78,7.59,0.4675,1.2775,0.365949119
77,Spring,Bee,c,6,17,6.98,8.09,0.6675,1.7775,0.375527426
78,Spring,Bee,c,6,18,7.05,9.47,0.7375,3.1575,0.233570863
79,Spring,Bee,c,6,19,7.35,9.12,1.0375,2.8075,0.369545859
